bedrooms,bathrooms,toilets,parking_space,property_type,town,state,total_rooms,price
6,5,8,4,Detached Duplex,Alimosho,Lagos,23,85000000
4,5,5,3,Terraced Duplexes,Ikoyi,Lagos,17,220000000
4,5,5,4,Detached Bungalow,Orozo,Abuja,18,13500000
5,1,1,1,Semi Detached Duplex,Wuye,Abuja,8,140000000
5,5,6,4,Detached Duplex,Gwarinpa,Abuja,20,225000000
4,3,3,4,Detached Bungalow,Ibadan,Oyo,14,20000000
3,3,4,3,Terraced Duplexes,Karsana,Abuja,13,19500000
2,2,3,2,Semi Detached Bungalow,Lekki,Lagos,9,35000000
4,4,5,5,Semi Detached Duplex,Asaba,Delta,18,65000000
2,2,2,4,Detached Duplex,Lekki,Lagos,10,42000000
5,5,6,9,Detached Duplex,Gwarinpa,Abuja,25,70000000
2,2,2,3,Block of Flats,Lekki,Lagos,9,21000000
2,2,2,1,Semi Detached Bungalow,Owerri Municipal,Imo,7,60000000
6,6,7,6,Detached Duplex,Apo,Abuja,25,98000000
5,6,7,3,Detached Duplex,Lekki,Lagos,21,92000000
5,5,6,4,Detached Duplex,Magodo,Lagos,20,190000000
4,5,5,4,Detached Bungalow,Agege,Lagos,18,15000000
2,5,5,4,Block of Flats,Ikotun,Lagos,16,25000000
4,4,5,3,Terraced Duplexes,Jabi,Abuja,16,160000000
5,6,6,5,Detached Duplex,Port Harcourt,Rivers,22,120000000
